Time [s], Analyzer Name, Decoded Protocol Result,,,,,,,,,,
0.15435125,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
0.284195333333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
0.414039583333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
0.543881666666667,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
0.673725583333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
0.8035675,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
0.933411583333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
1.063259,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
1.06446025,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
1.06557208333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
1.0669395,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
1.06806416666667,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
1.0692015,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
1.07031341666667,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
1.07142516666667,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
1.072537,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
3.0760145,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
3.20587383333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
3.3357465,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
3.4655675,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
3.59542741666667,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
3.72524866666667,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
3.85510825,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
3.98492983333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
3.98641225,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
3.98783083333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
3.98923658333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
3.99065508333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
3.99206083333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
3.993735,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
3.99514075,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
3.99655925,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
4.13878333333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
4.26860058333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
4.39844358333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
4.52828658333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
4.65812941666667,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
4.78798541666667,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
4.917828,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
5.04767108333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
5.0491535,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
5.05058483333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
5.05227166666667,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
5.05369025,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
5.05512158333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
5.05655291666667,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
5.05797141666667,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
5.05940275,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
7.063248,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
7.1929445,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
7.322787,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
7.45264233333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
7.58248491666667,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
7.71232741666667,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
7.84217,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
7.9720125,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
7.97322658333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
7.97437675,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
7.97551416666667,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
7.97666433333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
7.97807008333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
7.97922025,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
7.98037041666667,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
7.98150783333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
9.98462058333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
10.1144740833333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
10.2443148333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
10.3741555,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
10.50399625,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
10.6338498333333,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
10.7636905,SMBus,Write address 0x0B NACK Protocol=Quick Command,,,,,,,,,,
10.89353125,SMBus,Write address 0x0B ACK Protocol=Read byte,,,,,,,,,,
10.8936815,SMBus,Command SpecificationInfo 0x1A,,,,,,,,,,
10.904624,SMBus,Read address 0x0B ACK Protocol=Read byte,,,,,,,,,,
10.9048341666667,SMBus,Byte 0x31 ACK,,,,,,,,,,
10.9050088333333,SMBus,Bad PEC 0x00 should be 0x9D,,,,,,,,,,
10.9061703333333,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
10.9063205833333,SMBus,Command BatteryMode 0x03,,,,,,,,,,
10.9065281666667,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
10.9066546666667,SMBus,BatteryMode 0x8000 INTERNAL_CHARGE_CONTROLLER=0, PRIMARY_BATTERY_SUPPORT=0, CONDITION_FLAG=0, CHARGE_CONTROLLER_ENABLED=0, PRIMARY_BATTERY=0, ALARM_MODE=0, CHARGER_MODE=0, CAPACITY_MODE=1,,,
10.9070379166667,SMBus,PEC 0x41 OK,,,,,,,,,,
10.9083173333333,SMBus,Write address 0x0B ACK Protocol=Write word,,,,,,,,,,
10.9084675833333,SMBus,Command BatteryMode 0x03,,,,,,,,,,
